,FMID,MarketName,street_farm,city_farm,county_farm,state_farm,zip_farm,x_farm,y_farm,state_svi,county_svi,E_TOTPOP,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_MINRTY,M_MINRTY,EP_MINRTY,MP_MINRTY,EPL_MINRTY
0,1018261.0, Caledonia Farmers Market Association - Danville,,Danville,Caledonia,Vermont,5828,-72.140335,44.411037,Vermont,Caledonia,30027.0,6137.0,562.0,480.0,127.0,3729.0,326.0,1548.0,216.0,1270.0,258.0,1759.0,189.0,5.9,0.6,0.1445
1,1018262.0,Caledonia Farmers Market Association - Saturday,Pearl St,St. Johnsbury ,Caledonia,Vermont,5819,-72.01664,44.416901,Vermont,Caledonia,30027.0,6137.0,562.0,480.0,127.0,3729.0,326.0,1548.0,216.0,1270.0,258.0,1759.0,189.0,5.9,0.6,0.1445
2,1018263.0,Caledonia Farmers Market Association - Winter,Depot Square,St. Johnsbury,Caledonia,Vermont,5819,-72.015396,44.41721,Vermont,Caledonia,30027.0,6137.0,562.0,480.0,127.0,3729.0,326.0,1548.0,216.0,1270.0,258.0,1759.0,189.0,5.9,0.6,0.1445
3,1008831.0,Groton Growers Farmers' Market,1476 Scott Highway,Groton,Caledonia,Vermont,,-72.197395,44.211525,Vermont,Caledonia,30027.0,6137.0,562.0,480.0,127.0,3729.0,326.0,1548.0,216.0,1270.0,258.0,1759.0,189.0,5.9,0.6,0.1445
4,1006630.0,Hardwick Farmers' Market,Granite St.,Hardwick,Caledonia,Vermont,5843,-72.371513,44.506611,Vermont,Caledonia,30027.0,6137.0,562.0,480.0,127.0,3729.0,326.0,1548.0,216.0,1270.0,258.0,1759.0,189.0,5.9,0.6,0.1445
5,1001191.0,Lyndon Farmers Market,Bandstand Park on Rte 5,Lyndonville,Caledonia,Vermont,5842,-72.004982,44.536297,Vermont,Caledonia,30027.0,6137.0,562.0,480.0,127.0,3729.0,326.0,1548.0,216.0,1270.0,258.0,1759.0,189.0,5.9,0.6,0.1445
6,1001190.0,Lyndonville Farmers' Market,"Main Street, US Rt. 5",Lyndonville,Caledonia,Vermont,5851,-72.004997,44.536301,Vermont,Caledonia,30027.0,6137.0,562.0,480.0,127.0,3729.0,326.0,1548.0,216.0,1270.0,258.0,1759.0,189.0,5.9,0.6,0.1445
7,1018466.0,Peacham Farmers Market,555 Bayley Hazen Road,Peacham,Caledonia,Vermont,5862,-72.169411,44.327473,Vermont,Caledonia,30027.0,6137.0,562.0,480.0,127.0,3729.0,326.0,1548.0,216.0,1270.0,258.0,1759.0,189.0,5.9,0.6,0.1445
8,1018318.0, Stearns Homestead Farmers' Market,6975 Ridge Road,Parma ,Cuyahoga,Ohio,,-81.73394,41.374802,Ohio,Cuyahoga,1241475.0,315000.0,6092.0,47781.0,2114.0,161385.0,2923.0,83088.0,2042.0,66381.0,2434.0,518451.0,3524.0,41.8,0.3,0.8081
9,1009948.0,Broadway Farmers Market,,Cleveland ,Cuyahoga,Ohio,,-81.645294,41.461449,Ohio,Cuyahoga,1241475.0,315000.0,6092.0,47781.0,2114.0,161385.0,2923.0,83088.0,2042.0,66381.0,2434.0,518451.0,3524.0,41.8,0.3,0.8081
10,1008997.0,Case Western Reserve University Farmers Market,2109 Adelbert Rd.,Cleveland ,Cuyahoga,Ohio,44106,-81.604034,41.504894,Ohio,Cuyahoga,1241475.0,315000.0,6092.0,47781.0,2114.0,161385.0,2923.0,83088.0,2042.0,66381.0,2434.0,518451.0,3524.0,41.8,0.3,0.8081
11,1004976.0,Coventry Village Farmers Market,Corner of Coventry Rd and Euclid Hts Blvd.,Cleveland Hts,Cuyahoga,Ohio,,-81.580002,41.508099,Ohio,Cuyahoga,1241475.0,315000.0,6092.0,47781.0,2114.0,161385.0,2923.0,83088.0,2042.0,66381.0,2434.0,518451.0,3524.0,41.8,0.3,0.8081
12,1010837.0,Downtown Cleveland Farmers Market,"5th Street Arcades, 530 Euclid Avenue",Cleveland,Cuyahoga,Ohio,44115,-81.68914,41.49918,Ohio,Cuyahoga,1241475.0,315000.0,6092.0,47781.0,2114.0,161385.0,2923.0,83088.0,2042.0,66381.0,2434.0,518451.0,3524.0,41.8,0.3,0.8081
13,1011981.0,Euclid Farmers Market,291 E 222nd Street,Euclid,Cuyahoga,Ohio,44123,-81.525917,41.607433,Ohio,Cuyahoga,1241475.0,315000.0,6092.0,47781.0,2114.0,161385.0,2923.0,83088.0,2042.0,66381.0,2434.0,518451.0,3524.0,41.8,0.3,0.8081
14,1008116.0,First Baptist Church Farmers Market,3630 Fairmount Blvd.,Shaker Heights,Cuyahoga,Ohio,44118,-81.549728,41.485691,Ohio,Cuyahoga,1241475.0,315000.0,6092.0,47781.0,2114.0,161385.0,2923.0,83088.0,2042.0,66381.0,2434.0,518451.0,3524.0,41.8,0.3,0.8081
15,1011181.0,Frostville Museum Farmers Market ,24101 Cedar Point Road,North Olmsted ,Cuyahoga,Ohio,44070,-81.891663,41.405487,Ohio,Cuyahoga,1241475.0,315000.0,6092.0,47781.0,2114.0,161385.0,2923.0,83088.0,2042.0,66381.0,2434.0,518451.0,3524.0,41.8,0.3,0.8081
